Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,CP_Elec_6.3x5.4,115.285000,-149.180000,-90.000000,top
C2,10uF,CP_Elec_6.3x5.4,133.385000,-149.155000,-90.000000,top
C3,100nF,C_0603_1608Metric,124.435000,-110.630000,0.000000,top
C4,100nF,C_0603_1608Metric,118.460000,-118.080000,0.000000,top
C5,100nF,C_0603_1608Metric,124.435000,-125.630000,0.000000,top
C6,100nF,C_0603_1608Metric,118.460000,-133.080000,0.000000,top
J1,CV_IN,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,162.360000,-141.550000,0.000000,top
J2,AUDIO_OUT,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,184.260000,-141.550000,0.000000,top
J3,AUDIO_IN,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,173.310000,-141.550000,0.000000,top
J5,AUDIO_OUT,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,184.260000,-127.100000,0.000000,top
J6,AUDIO_IN,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,173.310000,-127.100000,0.000000,top
J7,CV_IN,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,162.360000,-127.100000,0.000000,top
J8,Conn_2A,PinSocket_1x04_P2.54mm_Vertical,106.560000,-113.930000,180.000000,top
J12,Conn_1A,PinSocket_1x04_P2.54mm_Vertical,142.010000,-152.730000,180.000000,top
Q1,2N3904,SOT-23,115.322500,-123.325000,180.000000,top
Q2,2N3904,SOT-23,133.297500,-123.325000,180.000000,top
Q3,2N3904,SOT-23,129.147500,-108.330000,180.000000,top
Q4,2N3904,SOT-23,129.147500,-123.330000,180.000000,top
Q5,2N3904,SOT-23,133.297500,-108.325000,180.000000,top
Q6,2N3904,SOT-23,115.322500,-108.325000,180.000000,top
R1,100k,R_0603_1608Metric,116.753750,-131.325000,180.000000,top
R2,100k,R_0603_1608Metric,116.753750,-129.575000,0.000000,top
R3,10k,R_0603_1608Metric,116.753750,-127.825000,0.000000,top
R4,10k,R_0603_1608Metric,116.753750,-126.075000,0.000000,top
R5,10k,R_0603_1608Metric,118.260000,-123.100000,-90.000000,top
R6,33k,R_0603_1608Metric,126.210000,-123.100000,90.000000,top
R7,15k,R_0603_1608Metric,131.866250,-129.575000,180.000000,top
R8,15k,R_0603_1608Metric,131.866250,-127.825000,180.000000,top
R9,15k,R_0603_1608Metric,127.703750,-131.325000,180.000000,top
R10,15k,R_0603_1608Metric,127.703750,-129.575000,180.000000,top
R11,1K,R_0603_1608Metric,131.860000,-126.080000,180.000000,top
R12,150k,R_0603_1608Metric,127.703750,-127.825000,180.000000,top
R13,150k,R_0603_1608Metric,131.866250,-131.325000,180.000000,top
R14,1K,R_0603_1608Metric,127.703750,-126.075000,180.000000,top
R15,200k,R_0603_1608Metric,124.460000,-123.105000,-90.000000,top
R16,1K,R_0603_1608Metric,120.010000,-123.105000,-90.000000,top
R17,150k,R_0603_1608Metric,127.703750,-112.825000,180.000000,top
R18,15k,R_0603_1608Metric,131.866250,-114.575000,180.000000,top
R19,15k,R_0603_1608Metric,131.866250,-112.825000,180.000000,top
R20,15k,R_0603_1608Metric,127.703750,-114.575000,180.000000,top
R21,1K,R_0603_1608Metric,127.703750,-111.075000,180.000000,top
R22,15k,R_0603_1608Metric,127.703750,-116.325000,180.000000,top
R23,200k,R_0603_1608Metric,124.460000,-108.105000,-90.000000,top
R24,1K,R_0603_1608Metric,120.010000,-108.105000,-90.000000,top
R25,1K,R_0603_1608Metric,131.860000,-111.080000,180.000000,top
R26,150k,R_0603_1608Metric,131.866250,-116.325000,180.000000,top
R27,33k,R_0603_1608Metric,126.210000,-108.100000,90.000000,top
R28,100k,R_0603_1608Metric,116.753750,-114.575000,0.000000,top
R29,100k,R_0603_1608Metric,116.753750,-116.325000,180.000000,top
R30,10k,R_0603_1608Metric,116.753750,-112.825000,0.000000,top
R31,10k,R_0603_1608Metric,118.260000,-108.100000,-90.000000,top
R32,10k,R_0603_1608Metric,116.753750,-111.075000,0.000000,top
REF**,PanelHole_Potentiometer_RV09,PanelHole_Potentiometer_RV09,207.940000,-67.175000,90.000000,top
REF**,PanelHole_AudioJack_3.5mm,PanelHole_AudioJack_3.5mm,209.480000,-127.075000,0.000000,top
REF**,PanelHole_AudioJack_3.5mm,PanelHole_AudioJack_3.5mm,220.430000,-141.525000,0.000000,top
REF**,PanelHole_AudioJack_3.5mm,PanelHole_AudioJack_3.5mm,220.430000,-127.075000,0.000000,top
REF**,PanelHole_Potentiometer_RV09,PanelHole_Potentiometer_RV09,227.930000,-87.170000,90.000000,top
REF**,PanelHole_AudioJack_3.5mm,PanelHole_AudioJack_3.5mm,209.480000,-141.525000,0.000000,top
REF**,PanelHole_AudioJack_3.5mm,PanelHole_AudioJack_3.5mm,231.380000,-127.075000,0.000000,top
REF**,Panel_8HP,Panel_8HP,200.430000,-40.255000,0.000000,top
REF**,PanelHole_AudioJack_3.5mm,PanelHole_AudioJack_3.5mm,231.380000,-141.525000,0.000000,top
RV1,100k,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,180.810000,-87.195000,90.000000,top
RV5,100k,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,160.820000,-67.200000,90.000000,top
U1,TL072,SOP-8_3.9x4.9mm_P1.27mm,122.228750,-129.350000,0.000000,top
U2,TL072,SOP-8_3.9x4.9mm_P1.27mm,122.228750,-114.350000,0.000000,top
